place_id,name,name_languages,address,primary_type,rating,review_count,photo_count,has_hours,has_summary,business_status,has_website,review_sample_langs,foreign_reviews_in_sample,maps_url
ChIJVze0S3DraDURTULdlBf7c5w,개미집 서면1번가직영점,ko,대한민국 부산광역시 부산진구 신천대로62번길 73,korean_restaurant,4.2,2631,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=11273630370938831437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ2cgg9HHraDUR_k9Ndt5zjow,맛찬들왕소금구이 서면점,ko,대한민국 부산광역시 부산진구 중앙대로691번가길 24-3,korean_barbecue_restaurant,4.3,2118,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=10128160011307536382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJhZnYxW_raDURN7EqvDihReM,포항돼지국밥,ko,대한민국 부산광역시 부산진구 서면로68번길 27,korean_restaurant,4.1,2065,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=16376672885049831735&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJdRr5sgrpaDURcE3j03Uc7Tw,개미집 본점,ko,대한민국 부산광역시 중구 중구로30번길 21-1,seafood_restaurant,3.7,1998,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=4390196504147742064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJK_tgjLDraDUR-wFvMQA1xrs,설야멱 부산서면 | Sulyamyeok Seomyeon | 雪夜覓,ko+en+zh,대한민국 부산광역시 부산진구 서전로 25 1층,korean_barbecue_restaurant,5,1729,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=13530560405426864635&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJe1QMOBvraDUR9__2s01MxDE,신촌양푼이갈비찜 서면본점,ko,대한민국 부산광역시 부산진구 서전로10번길 27-2,korean_restaurant,4.8,1692,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=3586075099909259255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJn_dX_2_raDUREDWrUr2zPIw,고베규카츠 서면점 | Kobe Gyukatsu Seomyeon Busan Korean BBQ & Beef Cutlet Restaurant | 神户牛カツ 西面店 | 神戸牛カツ 西面店,ko+en+ja+zh,대한민국 부산광역시 부산진구 중앙대로680번가길 29 2 층,restaurant,4.9,1658,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=10105149289629693200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJfTNGNUPraDURbN4Jisz9jcI,연화덮밥,ko,대한민국 부산광역시 부산진구 중앙대로756번길 20 연화덮밥 (Second floor 2층,korean_restaurant,4.9,1284,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=14019140270005280364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJGZ5jbwDraDURfrZ9liruoJM,샤브남바완 서면직영점,ko,대한민국 부산광역시 부산진구 부전동 534-2,japanese_restaurant,5,1033,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=10637764186529969790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJNXFW4HDraDURnArjTr7sUlE,황제잠수함 전국본점,ko,대한민국 부산광역시 부산진구 서면로 16 1F,seafood_restaurant,3.6,1004,10,Yes,No,OPERATIONAL,No,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=5860006367273880220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJIUFltm_raDURkyY6VN83K9M,삼오정,ko,대한민국 부산광역시 부산진구 서면로68번길 11,korean_restaurant,4.5,934,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=15216317198331684499&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJv-BtUWXraDUR4VWJcrjJtGo,맥도날드 서면3호점,ko,대한민국 부산광역시 부산진구 중앙대로692번길 33 1F,fast_food_restaurant,4.1,909,10,Yes,Yes,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=7688992257861047777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJBQllCwDraDURrU-M6YcHqDY,돼지나무사랑걸렸네 부산서면본점,ko,대한민국 부산광역시 부산진구 중앙대로756번길 16,korean_barbecue_restaurant,5,682,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=3938406154455764909&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJA7yI4HHraDURh3CsZijo5N4,제주가,ko,대한민국 부산광역시 부산진구 부전로66번길 36,seafood_restaurant,4,681,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=16061217431328944263&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ_XPxdgDraDURtTpdhgJ1vtw,안목 서면점,ko,대한민국 부산광역시 부산진구 서면로 10,korean_restaurant,4.9,662,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=15906279587623811765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJaf-UJQDraDUR5r8hlywUnAs,야키니쿠객 서면점(Yakinikugaek seomyeon),ko+en,대한민국 부산광역시 부산진구 서전로10번길 7,restaurant,5,639,10,Yes,No,OPERATIONAL,Yes,"ko,ko,ko,ko,ko",0,https://maps.google.com/?cid=836565812530757606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
